"","fecha","sexonac","freq"
"1",2002-01-03,"M",1
"2",2002-01-11,"F",2
"3",2002-01-12,"S",2
"4",2002-01-15,"F",2
"5",2002-01-16,"F",1
"6",2002-01-21,"F",2
"7",2002-01-23,"M",2
"8",2002-02-05,"F",1
"9",2002-02-06,"F",2
"10",2002-02-12,"F",1
"11",2002-02-14,"S",1
"12",2002-02-15,"F",2
"13",2002-02-20,"M",2
"14",2002-03-09,"M",1
"15",2002-03-14,"M",1
"16",2002-03-15,"F",1
"17",2002-03-25,"M",1
"18",2002-03-27,"M",1
"19",2002-04-08,"M",2
"20",2002-04-10,"M",1
"21",2002-04-12,"M",6
"22",2002-04-15,"F",6
"23",2002-04-19,"F",1
"24",2002-04-19,"M",4
"25",2002-04-22,"M",2
"26",2002-05-06,"F",2
"27",2002-05-06,"M",1
"28",2002-05-18,"M",2
"29",2002-05-21,"M",4
"30",2002-05-21,"S",18
"31",2002-05-24,"M",1
"32",2002-06-02,"F",1
"33",2002-06-09,"M",2
"34",2002-06-15,"M",3
"35",2002-06-20,"F",4
"36",2002-06-20,"M",3
"37",2002-06-24,"M",1
"38",2002-06-27,"M",2
"39",2002-06-28,"M",2
"40",2002-06-29,"M",2
"41",2002-07-08,"F",2
"42",2002-07-08,"M",1
"43",2002-07-08,"S",4
"44",2002-07-10,"M",1
"45",2002-07-11,"M",2
"46",2002-07-14,"F",1
"47",2002-07-15,"M",7
"48",2002-08-05,"M",2
"49",2002-08-12,"S",1
"50",2002-08-13,"M",1
"51",2002-08-15,"M",10
"52",2002-08-21,"F",2
"53",2002-08-21,"M",4
"54",2002-08-23,"M",2
"55",2002-08-26,"M",1
"56",2002-08-28,"M",2
"57",2002-08-29,"F",1
"58",2002-08-30,"M",2
"59",2002-09-03,"M",2
"60",2002-09-03,"S",1
"61",2002-09-05,"M",1
"62",2002-09-06,"M",1
"63",2002-09-07,"M",2
"64",2002-09-09,"M",1
"65",2002-09-15,"F",4
"66",2002-09-15,"M",5
"67",2002-09-16,"M",1
"68",2002-09-20,"M",1
"69",2002-09-23,"M",1
"70",2002-10-15,"F",3
"71",2002-10-15,"M",2
"72",2002-10-16,"M",4
"73",2002-10-17,"M",3
"74",2002-10-28,"F",2
"75",2002-11-08,"M",2
"76",2002-11-11,"S",2
"77",2002-11-15,"M",2
"78",2002-11-20,"M",10
"79",2002-11-25,"M",2
"80",2002-11-28,"M",1
"81",2002-12-06,"F",3
"82",2002-12-06,"M",2
"83",2002-12-09,"M",3
"84",2002-12-11,"M",1
"85",2002-12-15,"F",2
"86",2002-12-15,"M",3
"87",2002-12-23,"M",1
"88",2003-01-13,"M",6
"89",2003-01-14,"M",1
"90",2003-01-15,"F",3
"91",2003-01-15,"M",2
"92",2003-01-20,"M",2
"93",2003-01-21,"F",2
"94",2003-01-24,"M",2
"95",2003-01-31,"F",3
"96",2003-02-01,"F",2
"97",2003-02-01,"M",2
"98",2003-02-04,"M",4
"99",2003-02-07,"M",5
"100",2003-02-10,"F",2
"101",2003-02-13,"F",1
"102",2003-02-15,"M",4
"103",2003-02-22,"F",1
"104",2003-02-23,"F",2
"105",2003-02-23,"M",2
"106",2003-02-25,"F",2
"107",2003-02-25,"M",5
"108",2003-02-28,"M",2
"109",2003-03-03,"F",1
"110",2003-03-04,"M",1
"111",2003-03-07,"F",2
"112",2003-03-08,"F",1
"113",2003-03-12,"M",2
"114",2003-03-13,"M",1
"115",2003-03-15,"M",2
"116",2003-03-18,"F",2
"117",2003-03-19,"F",2
"118",2003-03-22,"M",3
"119",2003-03-26,"M",1
"120",2003-04-18,"M",2
"121",2003-04-22,"M",2
"122",2003-05-05,"F",2
"123",2003-05-07,"F",1
"124",2003-05-10,"F",2
"125",2003-05-10,"M",3
"126",2003-05-15,"M",6
"127",2003-05-16,"M",2
"128",2003-05-19,"F",2
"129",2003-05-30,"M",24
"130",2003-06-04,"M",2
"131",2003-06-10,"F",2
"132",2003-06-10,"M",17
"133",2003-06-14,"M",3
"134",2003-06-15,"F",2
"135",2003-06-20,"F",2
"136",2003-06-25,"M",2
"137",2003-07-04,"M",1
"138",2003-07-07,"F",1
"139",2003-07-07,"M",2
"140",2003-07-15,"M",2
"141",2003-07-16,"M",2
"142",2003-07-18,"F",2
"143",2003-07-21,"F",2
"144",2003-07-30,"M",2
"145",2003-07-31,"M",4
"146",2003-08-01,"F",2
"147",2003-08-03,"F",1
"148",2003-08-12,"M",2
"149",2003-08-14,"M",1
"150",2003-08-15,"M",3
"151",2003-08-21,"F",6
"152",2003-08-21,"M",29
"153",2003-08-23,"M",3
"154",2003-08-26,"M",2
"155",2003-08-28,"M",3
"156",2003-09-06,"M",3
"157",2003-09-13,"M",2
"158",2003-09-16,"M",2
"159",2003-10-15,"F",2
"160",2003-10-15,"M",2
"161",2003-10-16,"F",2
"162",2003-10-17,"M",5
"163",2003-11-04,"M",4
"164",2003-11-11,"M",1
"165",2003-11-15,"M",7
"166",2003-11-19,"M",2
"167",2003-11-21,"M",1
"168",2003-11-23,"F",2
"169",2003-11-23,"M",2
"170",2003-11-24,"F",1
"171",2003-11-24,"M",1
"172",2003-11-26,"M",1
"173",2003-11-27,"F",30
"174",2003-12-01,"F",1
"175",2003-12-09,"F",6
"176",2003-12-09,"M",2
"177",2003-12-12,"F",3
"178",2003-12-12,"M",21
"179",2003-12-15,"M",2
"180",2003-12-26,"M",1
"181",2003-12-27,"M",1
"182",2004-01-15,"M",2
"183",2004-01-21,"M",4
"184",2004-01-28,"F",2
"185",2004-01-29,"F",2
"186",2004-02-06,"F",4
"187",2004-02-06,"M",4
"188",2004-02-07,"M",6
"189",2004-02-09,"M",1
"190",2004-02-15,"F",2
"191",2004-02-15,"M",2
"192",2004-02-18,"F",1
"193",2004-02-18,"M",1
"194",2004-02-24,"F",2
"195",2004-03-01,"M",2
"196",2004-03-02,"M",4
"197",2004-03-03,"M",1
"198",2004-03-15,"F",2
"199",2004-03-15,"M",2
"200",2004-03-24,"M",1
"201",2004-03-29,"F",1
"202",2004-03-29,"M",2
"203",2004-04-01,"M",6
"204",2004-04-14,"M",3
"205",2004-04-22,"M",6
"206",2004-04-23,"M",2
"207",2004-05-01,"F",2
"208",2004-05-15,"M",3
"209",2004-05-25,"M",4
"210",2004-05-26,"M",2
"211",2004-06-05,"F",4
"212",2004-06-05,"M",1
"213",2004-06-10,"M",3
"214",2004-06-15,"M",2
"215",2004-06-17,"M",1
"216",2004-06-26,"M",2
"217",2004-07-02,"M",2
"218",2004-07-03,"M",4
"219",2004-07-09,"F",4
"220",2004-07-09,"M",2
"221",2004-07-15,"F",2
"222",2004-07-15,"M",2
"223",2004-07-20,"F",2
"224",2004-07-29,"M",2
"225",2004-08-03,"M",4
"226",2004-08-08,"M",1
"227",2004-08-09,"F",2
"228",2004-08-20,"F",3
"229",2004-08-22,"M",4
"230",2004-08-23,"F",2
"231",2004-09-02,"F",2
"232",2004-09-03,"M",3
"233",2004-09-07,"F",1
"234",2004-09-11,"M",2
"235",2004-09-17,"M",2
"236",2004-09-22,"M",2
"237",2004-10-02,"M",1
